   t     VP     VC          I    DPER    DUR      WAR     G       P        Z
 1876  51.484   na         -1       0   -1.50       0   5.110     na      na  
 1880  49.780   na         -1       0   -1.75       0   3.879   1.974       9
 1884  50.154   na         -1       0   -2.00       0   1.589   1.055       2
 1888  50.414   na          1       1    0.00       0  -5.553   0.604       3
 1892  51.732   na         -1      -1    0.00       0   2.763   2.274       7
 1896  47.760  48.081       1       0    0.00       0 -10.024   3.410       6
 1900  46.829  46.604      -1      -1    0.00       0  -1.425   2.548       7
 1904  39.994  43.659      -1      -1   -1.00       0  -2.421   1.442       5
 1908  45.517  48.107      -1       0   -1.25       0  -6.281   1.879       8
 1912  45.292  57.111      -1      -1   -1.50       0   4.164   2.172       8
 1916  51.682  48.881       1       1    0.00       0   2.229   4.252       3
 1920  36.148  37.957       1       0    1.00       1 -11.463   0.000       0
 1924  41.737  42.093      -1      -1    0.00       0  -3.872   5.161      10
 1928  41.244  42.838      -1       0   -1.00       0   4.623   0.183       7
 1932  59.149  56.874      -1      -1   -1.25       0 -14.350   6.928       4
 1936  62.226  58.476       1       1    0.00       0  11.682   2.498       9
 1940  54.983  52.967       1       1    1.00       0   3.913   0.051       8
 1944  53.778  51.718       1       1    1.25       1   4.122   0.000       0
 1948  52.319  53.190       1       1    1.50       1   3.214   0.000       0
 1952  44.710  49.944       1       0    1.75       0   0.997   2.353       7
 1956  42.906  50.970      -1      -1    0.00       0  -1.252   1.907       5
 1960  50.087  54.790      -1       0   -1.00       0   0.674   1.980       5
 1964  61.203  57.324       1       1    0.00       0   5.030   1.241       9
 1968  49.425  50.921       1       0    1.00       0   5.045   3.086       7
 1972  38.209  52.660      -1      -1    0.00       0   5.834   4.813       4
 1976  51.049  56.850      -1       0   -1.00       0   3.817   7.463       5
 1980  44.842  51.383       1       1    0.00       0  -3.583   7.795       5
 1984  40.877  52.778      -1      -1    0.00       0   5.550   5.210       8
 1988  46.168  54.011      -1       0   -1.00       0   2.403   2.871       5
 1992  53.621  52.744      -1      -1   -1.25       0   3.035   3.193       3
 1996  54.737  50.158       1       1    0.00       0   3.315   2.031       4
 2000  50.262  49.819       1       0    1.00       0   2.031   1.683       7
 2004  48.767  48.632      -1      -1    0.00       0   2.086   2.141       2
 2008  53.689  55.535      -1       0   -1.00       0  -1.787   2.745       2
 2012  52.010  50.681       1       1    0.00       0   1.422   1.470       1

